countryname,countrycode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,19313106302,19723488057,21493920015,25733212134,23527443251,26810567154,29152157362,30173172663,32877055829,37744346869,40315782854,44476662703,48301485014,62983498805,78250886611,83435565923,83210426602,94988948105,106000000000,124000000000,157000000000,160000000000,155000000000,160000000000,146000000000,130000000000,147000000000,180000000000,189000000000,195000000000,212000000000,221000000000,220000000000,234000000000,239000000000,270000000000,268000000000,282000000000,266000000000,262000000000,284000000000,259000000000,265000000000,353000000000,439000000000,512000000000,576000000000,661000000000,708000000000,713000000000,847000000000,943000000000,951000000000,964000000000,985000000000,920000000000,873000000000,985000000000,1010000000000,1010000000000,921000000000
Africa Western and Central,AFW,10404280784,11128050589,11943353288,12676515454,13838577015,14862472886,15832846881,14426432397,14880350847,16882094303,23504608015,20832819361,25264956496,31273822294,44214489606,51444737234,62129396933,65315014927,71199715512,88628410997,112000000000,211000000000,187000000000,138000000000,114000000000,117000000000,107000000000,110000000000,109000000000,102000000000,122000000000,117000000000,118000000000,98826405551,86281770253,108000000000,126000000000,127000000000,130000000000,138000000000,140000000000,148000000000,177000000000,205000000000,254000000000,311000000000,393000000000,462000000000,566000000000,507000000000,592000000000,671000000000,728000000000,821000000000,865000000000,761000000000,691000000000,684000000000,742000000000,795000000000,785000000000
Australia,AUS,18606786874,19683055213,19922723709,21539926084,23801097547,25977153097,27309889125,30444618658,32716989584,36686079068,41337215814,45222309329,52051401869,63844971172,88981577008,97333060221,105000000000,110000000000,119000000000,135000000000,150000000000,177000000000,194000000000,177000000000,194000000000,181000000000,182000000000,189000000000,236000000000,300000000000,311000000000,326000000000,325000000000,312000000000,323000000000,368000000000,401000000000,435000000000,399000000000,389000000000,416000000000,379000000000,395000000000,467000000000,614000000000,695000000000,748000000000,854000000000,1060000000000,928000000000,1150000000000,1400000000000,1550000000000,1580000000000,1470000000000,1350000000000,1210000000000,1330000000000,1430000000000,1390000000000,1330000000000
Austria,AUT,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,124000000000,133000000000,133000000000,166000000000,174000000000,195000000000,190000000000,204000000000,241000000000,237000000000,213000000000,218000000000,217000000000,197000000000,197000000000,213000000000,262000000000,301000000000,316000000000,336000000000,389000000000,430000000000,400000000000,392000000000,431000000000,409000000000,430000000000,442000000000,382000000000,396000000000,416000000000,455000000000,445000000000,433000000000
Burundi,BDI,195999990,202999992,213500006,232749998,260750008,158994963,165444571,178297143,183200000,190205714,242732571,252842286,246804571,304339840,345263492,420986667,448412754,547535556,610225556,782496667,919726667,969046667,1013222222,1082926304,987143931,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590,1000428394,869033856,972896268,893770806,808077223,870486066,876794723,825394490,784654424,915257323,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2732808557,2748180474,2668495743,2631434363,2841786382
Belgium,BEL,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26706196047,29821661870,37209418019,47743801490,56033077879,65678189097,71113882968,82839905459,101000000000,116000000000,127000000000,105000000000,92095926188,87184239053,83349530159,86268264148,120000000000,149000000000,162000000000,164000000000,205000000000,211000000000,235000000000,225000000000,245000000000,288000000000,279000000000,253000000000,259000000000,258000000000,236000000000,237000000000,257000000000,317000000000,369000000000,386000000000,408000000000,470000000000,515000000000,481000000000,481000000000,523000000000,496000000000,522000000000,535000000000,462000000000,476000000000,502000000000,543000000000,535000000000,522000000000
Benin,BEN,226195579,235668222,236434907,253927647,269818988,289908721,302925281,306222000,326323097,330748212,333627758,335072975,410331901,504376036,554654787,676870140,698408244,750049739,928843305,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,3677394292,3519991326,3666222600,4194342849,5349258334,6190270756,6567654494,7034111651,8169048690,9787735426,9738626993,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701654743,14262407012,14391686633,15651545332
Burkina Faso,BFA,330442817,350247237,379567023,394040588,410321618,422916848,433889832,450753993,460442678,478298598,458404330,482411104,578595584,674773518,751133331,939972704,976547164,1131224818,1475583383,1748480982,1928719477,1775842026,1754449845,1600278756,1459880019,1552493068,2036303381,2369834650,2616040646,2615587726,3101300642,3135045684,3356692518,3199536228,1895290623,2379518099,2586550747,2447668985,2804902248,3389566983,2968369991,3190371050,3622350204,4740768355,5451688868,6146352742,6547420134,7625723124,9451436359,9450697336,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,15890065020,16178162030,17933606353
Bangladesh,BGD,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685474,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,102000000000,115000000000,129000000000,133000000000,150000000000,173000000000,195000000000,221000000000,250000000000,274000000000,303000000000,323000000000
"Bahamas, The",BHS,169803922,190098039,212254902,237745098,266666667,300392157,340000000,390196078,444901961,528137255,538423154,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10494600000,11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000
