Name,Code,Type,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Country,Military expenditure (current USD),,,,,,,,,,,2939585.5010,,,3341271.5510,3581366.3510,4203664.5690,5393251.2160,6127288.0630,,,,,,,,,,,,,,,,,,,,,,,,,,,125111557.5000,122727193.1000,131346231.3000,219580214.3000,240532594.6000,251869514.8000,298146852.5000,325807003.7000,238583385.4000,217194107.1000,268227074.2000,199518614.8000,185878310.1000,191407113.2000,198086263.3000
Angola,AGO,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,343271609.1000,504712881.9000,497359449.2000,618891637.1000,668493883.3000,778628250.6000,1066247744.0000,1146467010.0000,1156494418.0000,1487398890.0000,1469382980.0000,1948559396.0000,1751153152.0000,1031247788.0000,794138821.2000,1774397877.0000,594991178.7000,233843714.9000,159741933.5000,456780475.0000,170278292.6000,1066588789.0000,583621333.6000,404299140.0000,438686245.4000,670021164.4000,817533582.2000,1365055399.0000,1970309115.0000,2032432883.0000,3163591147.0000,3311193245.0000,3500794836.0000,3639496374.0000,4144634851.0000,6090751702.0000,6841864484.0000,3608299115.0000,2764054937.0000,3062872914.0000,1983613748.0000
Albania,ALB,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31559657.4800,39289843.4300,49649504.9300,50907521.7800,45713356.1100,29825492.0000,33638047.4400,42784205.2100,45362503.3900,53232045.1600,58649352.5000,76142881.7600,100922358.4000,110140852.7000,140983900.7000,194840309.2000,255677957.8000,182736862.5000,185893242.0000,197006789.2000,183204695.7000,180015508.8000,178120368.0000,132350667.6000,130853162.6000,144382688.7000,180488725.1000
Andorra,AND,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Regions Clubbed Geographically,Military expenditure (current USD),,,833229524.1000,916446054.5000,1225338998.0000,1416443189.0000,1548666185.0000,1684446592.0000,2031297443.0000,2520054562.0000,2980085336.0000,3346818699.0000,3722311542.0000,5149216359.0000,5939677298.0000,6542589258.0000,7664547685.0000,21087366664.0000,23611330024.0000,28041477384.0000,34463402591.0000,39939322642.0000,40382443515.0000,34868573704.0000,36994839308.0000,32977558769.0000,14390091251.0000,29739839768.0000,28872826806.0000,24604659766.0000,36512289679.0000,41035099161.0000,32810749318.0000,29606345067.0000,29413366450.0000,26684323434.0000,26486123009.0000,35484055036.0000,39322695875.0000,36889627319.0000,40740633349.0000,42770280444.0000,40851036167.0000,42622220140.0000,48508764668.0000,54649194506.0000,61282170542.0000,73572238704.0000,86261643586.0000,91504042712.0000,97976367584.0000,108000000000.0000,122000000000.0000,143000000000.0000,155000000000.0000,138000000000.0000,112000000000.0000,119000000000.0000,113000000000.0000
United Arab Emirates,ARE,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335766741.0000,4010347175.0000,4233083730.0000,5875833901.0000,5797957794.0000,5354118448.0000,5834717495.0000,6816882233.0000,6604220558.0000,7165418652.0000,8460993873.0000,11571681416.0000,13836351259.0000,17504697073.0000,19181756297.0000,19024098026.0000,23561061947.0000,22755071477.0000,,,,
Argentina,ARG,Country,Military expenditure (current USD),,,305162407.2000,242219771.2000,245740498.0000,252407602.9000,279225436.3000,251930719.1000,337142857.1000,442857142.9000,445713893.9000,519719484.2000,766000000.0000,1294000000.0000,1626000000.0000,798359535.2000,2050248959.0000,2058223942.0000,3103989947.0000,5057062803.0000,6477389013.0000,5882767126.0000,2279872697.0000,2848053181.0000,2527749815.0000,2027221261.0000,2449545721.0000,2485659656.0000,2696341658.0000,1440922190.0000,2050907629.0000,2858778842.0000,3254455192.0000,3368550452.0000,3754724687.0000,3801950488.0000,3379138770.0000,3340670335.0000,3398699350.0000,3461730865.0000,3266633317.0000,3183591796.0000,1114172483.0000,1374873734.0000,1465809188.0000,1699579152.0000,1847553130.0000,2296448242.0000,2788980205.0000,2981852290.0000,3475348407.0000,4051930105.0000,4563217859.0000,5137974301.0000,4979442724.0000,5482616701.0000,4509647660.0000,5459643672.0000,4144991771.0000
Armenia,ARM,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9829763.8660,,52228583.8200,52410268.5500,64062121.1900,66757573.0600,68234148.5700,68052142.0700,66247626.4600,64106405.6500,76587998.8900,98070488.2000,140738102.7000,188189116.4000,280108688.3000,395994365.4000,359499343.5000,395011507.8000,390871433.9000,380571678.9000,444551859.5000,457807021.8000,447379807.5000,431396218.6000,443610413.3000,608854649.9000
American Samoa,ASM,Semi Autonomous Region,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Country,Military expenditure (current USD),459760073.6000,470960075.4000,489440078.3000,553280088.5000,655760104.9000,787360126.0000,986720157.9000,1197840192.0000,1321600211.0000,1314880210.0000,1277360204.0000,1331754789.0000,1484443745.0000,1855729307.0000,2127274763.0000,2268707674.0000,2441084025.0000,2500485127.0000,2816316206.0000,3100685079.0000,3657867290.0000,4323644157.0000,4459544582.0000,4511671066.0000,4925319433.0000,4386859326.0000,4606710028.0000,5057135655.0000,5836347868.0000,6300015815.0000,6704213698.0000,7023509067.0000,6882091580.0000,6733829290.0000,7459696582.0000,7665878446.0000,8202776517.0000,7936884917.0000,7107542891.0000,7770250653.0000,7273760313.0000,7043145895.0000,7946766202.0000,9926649415.0000,11995219710.0000,13237798499.0000,14239779513.0000,17186440962.0000,18633092318.0000,18960138513.0000,23217692816.0000,26597198655.0000,26216580848.0000,24825262589.0000,25783708714.0000,24045569111.0000,26382947050.0000,27691112417.0000,26711834225.0000
Austria,AUT,Country,Military expenditure (current USD),91559097.9600,91029854.6200,100026991.4000,125959915.1000,164594679.0000,142895702.0000,167770139.0000,176767275.8000,182059709.2000,193173819.4000,199524739.5000,209277606.7000,249425547.4000,328898821.4000,422543505.8000,546724394.0000,581408727.3000,686893244.3000,877450655.2000,1049972515.0000,1152895906.0000,969372327.1000,995369996.9000,991995097.5000,949715291.7000,1036872489.0000,1475426089.0000,1737112605.0000,1713954577.0000,1623488055.0000,1972701682.0000,1994055546.0000,2139925322.0000,2115115267.0000,2227560550.0000,2557834494.0000,2457903049.0000,2164802343.0000,2159796003.0000,2124379546.0000,1925557398.0000,1788798311.0000,1881746741.0000,2381962769.0000,2679282065.0000,2686166244.0000,2640185362.0000,3499817967.0000,3746731607.0000,3334754940.0000,3218351224.0000,3409721209.0000,3187227449.0000,3229065841.0000,3305159256.0000,2665409782.0000,2885947386.0000,3138359204.0000,3367460383.0000
Azerbaijan,AZE,Country,Military expenditure (current USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11070110.7000,77519379.8400,43942747.0600,66159968.9100,71606841.2400,92086691.9700,107262858.6000,120262174.0000,119575651.7000,131963660.1000,139894091.9000,176552162.3000,228249631.6000,304521477.7000,717111853.6000,946599792.1000,1607799226.0000,1472909977.0000,1476608734.0000,3080084996.0000,3246122613.0000,3367574161.0000,3427179917.0000,2943396693.0000,1396969108.0000,1528859592.0000,1708941176.0000
